指数名称,分类,成分股数量
综企指数,行业,5
综合指数,行业,221
专用指数,行业,152
中证全指,全指,4280
中证流通,全指,4207
中证超大,中证,50
中证A股,全指,4232
中证800,中证,800
中证700,中证,700
中证500,中证,500
中证200,中证,200
中证1000,中证,1000
中证100,中证,100
中型综指,风格,715
中小综指,风格,991
中小基础,风格,412
中小创新,风格,500
中小300,风格,300
中小100,风格,100
中创500,风格,500
中创400,风格,400
中创100,风格,100
制造指数,行业,1730
造纸指数,行业,16
运输指数,行业,35
有色指数,行业,44
印刷指数,行业,9
饮料指数,行业,15
仪表指数,行业,42
医药指数,行业,148
新综指,全指,1886
新指数,全指,2546
新兴成指,行业,100
橡胶指数,行业,66
文教指数,行业,16
文化指数,行业,29
同花顺全A,全指,4756
通用指数,行业,99
水电指数,行业,45
市值百强,行业,100
食品指数,行业,28
石化指数,行业,7
深证综指,全指,2652
深证创新,行业,100
深证成指,全指,500
深证A指,全指,2652
深证700,深指,700
深证300,深指,300
深证200,深指,200
深证1000,深指,1000
深证100,深指,100
深圳高新,行业,46
上证中小,风格,450
上证中盘,风格,130
上证指数,全指,1886
上证小盘,风格,320
上证全指,全指,500
上证流通,全指,1886
上证50,上证,50
上证380,上证,380
上证180,上证,180
上证150,上证,150
上证100,上证,100
商业指数,行业,165
商务指数,行业,41
区块链50,行业,50
汽车指数,行业,70
其他指数,行业,8
批零指数,行业,84
农林指数,行业,26
农副指数,行业,33
木材指数,行业,4
矿物指数,行业,52
科研指数,行业,60
科技100,风格,100
科创创业50,沪深,50
科创50,沪深,50
金属指数,行业,53
金融指数,行业,39
交运指数,行业,31
建筑指数,行业,52
化学指数,行业,165
化纤指数,行业,16
沪深300,沪深,300
沪港深300,沪深,216
公用指数,行业,128
公共指数,行业,57
工业指数,行业,1350
钢铁指数,行业,11
服装指数,行业,19
纺织指数,行业,26
电子指数,行业,294
电气指数,行业,164
地产指数,行业,74
创质量,行业,100
创业基础,风格,413
创业创新,风格,100
创业板综,全指,1169
创业板指,风格,100
创业板50,沪深,50
创业300,沪深,300
创新引擎,行业,50
创新龙头,行业,93
超大盘,风格,20
餐饮指数,行业,4
采矿指数,行业,28
SME创新,行业,100
IT指数,行业,240
A股指数,全指,1885
800消费,行业,53
300精明,风格,227
300 ESG,风格,235
